step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,amount_noisy
1,PAYMENT,9839.64,170136.0,160296.36,0.0,0.0,0,0,9772.567040869835
1,PAYMENT,1864.28,21249.0,19384.72,0.0,0.0,0,0,1898.1497398192655
1,TRANSFER,181.0,181.0,0.0,0.0,0.0,1,0,180.52398413774722
1,CASH_OUT,181.0,181.0,0.0,21182.0,0.0,1,0,179.61379954841507
1,PAYMENT,11668.14,41554.0,29885.86,0.0,0.0,0,0,11717.602749826294
1,PAYMENT,7817.71,53860.0,46042.29,0.0,0.0,0,0,7954.256208427662
1,PAYMENT,7107.77,183195.0,176087.23,0.0,0.0,0,0,7157.6919678858585
1,PAYMENT,7861.64,176087.23,168225.59,0.0,0.0,0,0,7908.578211224487
1,PAYMENT,4024.36,2671.0,0.0,0.0,0.0,0,0,4017.9251953035614
1,PAYMENT,3099.97,20771.0,17671.03,0.0,0.0,0,0,3121.9471833911853
1,PAYMENT,2560.74,5070.0,2509.26,0.0,0.0,0,0,2576.79678679723
1,PAYMENT,11633.76,10127.0,0.0,0.0,0.0,0,0,11578.112781089094
1,PAYMENT,4098.78,503264.0,499165.22,0.0,0.0,0,0,4165.871112367023
1,CASH_OUT,229133.94,15325.0,0.0,5083.0,51513.44,0,0,224570.38903940085
1,PAYMENT,1563.82,450.0,0.0,0.0,0.0,0,0,1549.5456949882368
1,PAYMENT,1157.86,21156.0,19998.14,0.0,0.0,0,0,1157.289978033866
1,PAYMENT,671.64,15123.0,14451.36,0.0,0.0,0,0,680.8389663437698
1,TRANSFER,215310.3,705.0,0.0,22425.0,0.0,0,0,218561.2049532108
1,PAYMENT,1373.43,13854.0,12480.57,0.0,0.0,0,0,1377.8363613617707
1,PAYMENT,3876.41,67852.0,63975.59,0.0,0.0,0,0,3787.4807774888877
1,TRANSFER,311685.89,10835.0,0.0,6267.0,2719172.89,0,0,322089.11365455907
1,PAYMENT,6061.13,443.0,0.0,0.0,0.0,0,0,6186.13928196588
1,PAYMENT,9478.39,116494.0,107015.61,0.0,0.0,0,0,9499.413160521111
1,PAYMENT,8009.09,10968.0,2958.91,0.0,0.0,0,0,8038.339719346611
1,PAYMENT,8901.99,2958.91,0.0,0.0,0.0,0,0,9031.759846058829
1,PAYMENT,9920.52,0.0,0.0,0.0,0.0,0,0,9981.00347259121
1,PAYMENT,3448.92,0.0,0.0,0.0,0.0,0,0,3419.4653342320507
1,PAYMENT,4206.84,0.0,0.0,0.0,0.0,0,0,4194.215857545965
1,PAYMENT,5885.56,0.0,0.0,0.0,0.0,0,0,5941.50386196984
1,PAYMENT,5307.88,0.0,0.0,0.0,0.0,0,0,5349.636385826459
1,PAYMENT,5031.22,0.0,0.0,0.0,0.0,0,0,5027.389696648076
1,PAYMENT,24213.67,0.0,0.0,0.0,0.0,0,0,24439.83380837028
1,PAYMENT,8603.42,253.0,0.0,0.0,0.0,0,0,8623.099821095513
1,PAYMENT,2791.42,300481.0,297689.58,0.0,0.0,0,0,2773.435345159314
1,PAYMENT,7413.54,297689.58,290276.03,0.0,0.0,0,0,7427.262795539283
1,PAYMENT,3295.19,233633.0,230337.81,0.0,0.0,0,0,3340.409452397656
1,PAYMENT,1684.81,297.0,0.0,0.0,0.0,0,0,1658.8078842894517
1,CASH_OUT,110414.71,26845.41,0.0,288800.0,2415.16,0,0,107994.40280412408
1,PAYMENT,7823.46,998.0,0.0,0.0,0.0,0,0,7850.601633985003
1,PAYMENT,5086.48,0.0,0.0,0.0,0.0,0,0,5108.636443270479
1,PAYMENT,5281.48,152019.0,146737.52,0.0,0.0,0,0,5227.7855833767335
1,PAYMENT,13875.98,15818.0,1942.02,0.0,0.0,0,0,13906.808378394966
1,CASH_OUT,56953.9,1942.02,0.0,70253.0,64106.18,0,0,56341.52234737455
1,CASH_OUT,5346.89,0.0,0.0,652637.0,6453430.91,0,0,5286.878346084508
1,PAYMENT,2204.04,586.0,0.0,0.0,0.0,0,0,2188.8536682022923
1,PAYMENT,2641.47,23053.0,20411.53,0.0,0.0,0,0,2672.57057795073
1,CASH_OUT,23261.3,20411.53,0.0,25742.0,0.0,0,0,23008.078773760637
1,PAYMENT,2330.64,203543.0,201212.36,0.0,0.0,0,0,2332.9536398735195
1,PAYMENT,1614.64,41276.0,39661.36,0.0,0.0,0,0,1653.7427449400013
1,PAYMENT,9164.71,47235.77,38071.06,0.0,0.0,0,0,9128.29491587452
1,PAYMENT,2970.97,38071.06,35100.09,0.0,0.0,0,0,2926.3199748822562
1,PAYMENT,38.66,16174.0,16135.34,0.0,0.0,0,0,38.76075123112448
1,PAYMENT,2252.44,1627.0,0.0,0.0,0.0,0,0,2241.57629847961
1,TRANSFER,62610.8,79114.0,16503.2,517.0,8383.29,0,0,62203.206562183885
1,CASH_OUT,82940.31,3017.87,0.0,132372.0,49864.36,0,0,83038.6735267949
1,PAYMENT,2599.46,874042.26,871442.79,0.0,0.0,0,0,2611.482949853084
1,PAYMENT,6440.78,2192.0,0.0,0.0,0.0,0,0,6524.725427052378
1,PAYMENT,4910.14,41551.0,36640.86,0.0,0.0,0,0,4955.851898724454
1,PAYMENT,6444.64,12019.0,5574.36,0.0,0.0,0,0,6487.632564797322
1,PAYMENT,7292.16,216827.0,209534.84,0.0,0.0,0,0,7344.681832382069
1,CASH_OUT,47458.86,209534.84,162075.98,52120.0,0.0,0,0,46881.57375900465
1,CASH_OUT,136872.92,162075.98,25203.05,217806.0,0.0,0,0,135998.18970514435
1,CASH_OUT,94253.33,25203.05,0.0,99773.0,965870.05,0,0,93890.128761199
1,PAYMENT,2998.04,12030.0,9031.96,0.0,0.0,0,0,3024.2570998187975
1,PAYMENT,3454.08,9031.96,5577.88,0.0,0.0,0,0,3446.0459834630724
1,PAYMENT,4316.2,10999.0,6682.8,0.0,0.0,0,0,4373.064651679815
1,PAYMENT,2131.84,224.0,0.0,0.0,0.0,0,0,2141.947788564008
1,PAYMENT,12986.61,23350.0,10363.39,0.0,0.0,0,0,12949.469459832973
1,TRANSFER,42712.39,10363.39,0.0,57901.66,24044.18,0,0,42955.63577858384
1,TRANSFER,77957.68,0.0,0.0,94900.0,22233.65,0,0,77888.96668058747
1,TRANSFER,17231.46,0.0,0.0,24672.0,0.0,0,0,17008.994648025873
1,TRANSFER,78766.03,0.0,0.0,103772.0,277515.05,0,0,78790.35281303531
1,TRANSFER,224606.64,0.0,0.0,354678.92,0.0,0,0,223555.1673454911
1,TRANSFER,125872.53,0.0,0.0,348512.0,3420103.09,0,0,127065.5204624912
1,TRANSFER,379856.23,0.0,0.0,900180.0,19169204.93,0,0,377516.04748728726
1,TRANSFER,1505626.01,0.0,0.0,29031.0,5515763.34,0,0,1502482.6159579793
1,TRANSFER,554026.99,0.0,0.0,579285.56,0.0,0,0,558855.1378583543
1,TRANSFER,147543.1,0.0,0.0,223220.0,16518.36,0,0,145432.8049010113
1,TRANSFER,761507.39,0.0,0.0,1280036.23,19169204.93,0,0,759032.701508713
1,TRANSFER,1429051.47,0.0,0.0,2041543.62,19169204.93,0,0,1431898.3022511501
1,TRANSFER,358831.92,0.0,0.0,474384.53,3420103.09,0,0,361681.30960211734
1,TRANSFER,367768.4,0.0,0.0,370763.1,16518.36,0,0,367533.2758738439
1,TRANSFER,209711.11,0.0,0.0,399214.71,2415.16,0,0,212760.86768614707
1,TRANSFER,583848.46,0.0,0.0,667778.0,2107778.11,0,0,581167.0860040182
1,TRANSFER,1724887.05,0.0,0.0,3470595.1,19169204.93,0,0,1734241.6707236895
1,TRANSFER,710544.77,0.0,0.0,738531.5,16518.36,0,0,704522.8148764067
1,TRANSFER,581294.26,0.0,0.0,5195482.15,19169204.93,0,0,581459.4526688183
1,TRANSFER,11996.58,0.0,0.0,40255.0,0.0,0,0,11900.318187932577
1,PAYMENT,2875.1,15443.0,12567.9,0.0,0.0,0,0,2884.4659211864264
1,PAYMENT,8586.98,3763.0,0.0,0.0,0.0,0,0,8504.510102933049
1,PAYMENT,871.75,19869.0,18997.25,0.0,0.0,0,0,883.8942228345608
1,PAYMENT,1035.36,71636.0,70600.64,0.0,0.0,0,0,1037.419715746862
1,PAYMENT,1063.53,83084.0,82020.47,0.0,0.0,0,0,1065.2772646812584
1,PAYMENT,1019.9,204237.0,203217.1,0.0,0.0,0,0,1030.9790209205128
1,PAYMENT,4059.38,26304.0,22244.62,0.0,0.0,0,0,4068.1681532652065
1,PAYMENT,1876.44,182.0,0.0,0.0,0.0,0,0,1893.772646160694
1,CASH_OUT,28404.6,0.0,0.0,51744.0,0.0,0,0,28292.668961924162
1,CASH_OUT,75405.1,0.0,0.0,104209.0,46462.23,0,0,75995.30628939971
1,CASH_OUT,50101.88,0.0,0.0,67684.0,9940339.29,0,0,50223.641285370184
1,CASH_OUT,14121.82,0.0,0.0,52679.0,10963.66,0,0,14149.709146795201
